driver,target,window_start
CL,FGBS,2025-04-29 00:00:00+02:00
CL,FGBS,2025-05-07 00:00:00+02:00
CL,FGBX,2026-05-05 00:00:00+02:00
CL,FGBX,2026-05-11 00:00:00+02:00
CL,FGBX,2026-05-19 00:00:00+02:00
CL,FGBX,2026-05-27 00:00:00+02:00
CL,FGBX,2026-06-16 00:00:00+02:00
CL,FGBX,2026-06-23 00:00:00+02:00
CL,FOAT,2026-03-11 00:00:00+01:00
CL,FOAT,2026-03-16 00:00:00+01:00
CL,FOAT,2026-05-29 00:00:00+02:00
CL,FOAT,2026-06-04 00:00:00+02:00
CL,FBTP,2026-04-08 00:00:00+02:00
CL,FBTP,2026-04-17 00:00:00+02:00
CL,FBTP,2026-05-08 00:00:00+02:00
CL,FBTP,2026-05-14 00:00:00+02:00
CL,FBTP,2026-06-09 00:00:00+02:00
BRN,FOAT,2026-05-29 00:00:00+02:00
BRN,FOAT,2026-06-16 00:00:00+02:00
ES,FGBS,2025-06-05 00:00:00+02:00
ES,FGBS,2025-06-11 00:00:00+02:00
ES,FGBS,2026-06-10 00:00:00+02:00
ES,FGBM,2026-06-11 00:00:00+02:00
ES,FGBM,2026-06-17 00:00:00+02:00
ES,FBTP,2026-04-10 00:00:00+02:00
ES,FBTP,2026-04-16 00:00:00+02:00
ES,FBTP,2026-04-23 00:00:00+02:00
ES,FBTP,2026-05-04 00:00:00+02:00
ES,FBTP,2026-06-05 00:00:00+02:00
ES,FBTP,2026-06-19 00:00:00+02:00
ZN,FGBS,2025-05-06 00:00:00+02:00
ZN,FGBS,2025-05-09 00:00:00+02:00
ZN,FGBS,2026-05-27 00:00:00+02:00
ZN,FGBS,2026-06-01 00:00:00+02:00
ZN,FGBS,2026-06-10 00:00:00+02:00
ZN,FGBM,2025-08-11 00:00:00+02:00
ZN,FGBM,2025-08-14 00:00:00+02:00
ZN,FGBM,2025-08-27 00:00:00+02:00
ZN,FGBM,2025-09-03 00:00:00+02:00
ZN,FGBM,2025-09-18 00:00:00+02:00
ZN,FGBM,2025-09-23 00:00:00+02:00
ZN,FGBM,2025-09-30 00:00:00+02:00
ZN,FGBM,2025-10-20 00:00:00+02:00
ZN,FGBM,2025-12-19 00:00:00+01:00
ZN,FGBM,2026-01-21 00:00:00+01:00
ZN,FGBM,2026-02-03 00:00:00+01:00
ZN,FGBM,2026-05-19 00:00:00+02:00
ZN,FGBM,2026-05-27 00:00:00+02:00
ZN,FGBM,2026-06-04 00:00:00+02:00
ZN,FGBM,2026-06-15 00:00:00+02:00
ZN,FGBL,2026-01-19 00:00:00+01:00
ZN,FGBL,2026-01-29 00:00:00+01:00
ZN,FGBL,2026-02-17 00:00:00+01:00
ZN,FGBL,2026-02-24 00:00:00+01:00
ZN,FGBL,2026-03-24 00:00:00+01:00
ZN,FGBL,2026-04-01 00:00:00+02:00
ZN,FGBL,2026-05-04 00:00:00+02:00
ZN,FGBL,2026-05-15 00:00:00+02:00
ZN,FGBX,2026-05-15 00:00:00+02:00
ZN,FGBX,2026-05-19 00:00:00+02:00
ZN,FOAT,2025-06-20 00:00:00+02:00
ZN,FOAT,2025-06-26 00:00:00+02:00
ZN,FOAT,2025-07-14 00:00:00+02:00
ZN,FOAT,2025-07-21 00:00:00+02:00
ZN,FOAT,2025-08-19 00:00:00+02:00
ZN,FOAT,2025-09-12 00:00:00+02:00
ZN,FOAT,2025-09-17 00:00:00+02:00
ZN,FBTP,2026-04-08 00:00:00+02:00
ZN,FBTP,2026-04-14 00:00:00+02:00
ZN,FBTP,2026-05-06 00:00:00+02:00
GC,FGBS,2025-05-12 00:00:00+02:00
GC,FGBS,2025-05-20 00:00:00+02:00
GC,FGBS,2025-05-23 00:00:00+02:00
GC,FGBM,2026-05-08 00:00:00+02:00
GC,FGBM,2026-05-21 00:00:00+02:00
GC,FGBM,2026-05-27 00:00:00+02:00
GC,FGBL,2026-06-22 00:00:00+02:00
6E,FGBS,2025-05-07 00:00:00+02:00
6E,FGBS,2025-06-09 00:00:00+02:00
6E,FGBM,2026-04-28 00:00:00+02:00
6E,FGBM,2026-05-05 00:00:00+02:00
6E,FGBM,2026-06-02 00:00:00+02:00
6E,FGBM,2026-06-08 00:00:00+02:00
6E,FGBX,2026-04-28 00:00:00+02:00
6E,FGBX,2026-05-18 00:00:00+02:00
6E,FGBX,2026-05-29 00:00:00+02:00
6E,FBTP,2025-04-25 00:00:00+02:00
6E,FBTP,2025-05-09 00:00:00+02:00
6E,FBTP,2025-06-05 00:00:00+02:00
6E,FBTP,2025-06-11 00:00:00+02:00
6E,FBTP,2026-04-09 00:00:00+02:00
6E,FBTP,2026-04-29 00:00:00+02:00
6E,FBTP,2026-05-14 00:00:00+02:00
6E,FBTP,2026-05-29 00:00:00+02:00
6E,FBTP,2026-06-23 00:00:00+02:00
TFM,FGBS,2026-01-23 00:00:00+01:00
TFM,FGBS,2026-02-10 00:00:00+01:00
TFM,FGBS,2026-06-17 00:00:00+02:00
TFM,FGBM,2025-03-28 00:00:00+01:00
TFM,FGBM,2025-04-08 00:00:00+02:00
TFM,FGBM,2025-04-17 00:00:00+02:00
TFM,FGBM,2025-04-28 00:00:00+02:00
TFM,FGBM,2025-05-06 00:00:00+02:00
TFM,FGBM,2025-06-05 00:00:00+02:00
TFM,FGBM,2025-06-30 00:00:00+02:00
TFM,FGBM,2025-07-09 00:00:00+02:00
TFM,FGBM,2025-07-15 00:00:00+02:00
TFM,FGBM,2025-08-07 00:00:00+02:00
TFM,FGBM,2025-09-15 00:00:00+02:00
TFM,FGBM,2025-09-22 00:00:00+02:00
TFM,FGBM,2025-09-30 00:00:00+02:00
TFM,FGBM,2025-10-09 00:00:00+02:00
TFM,FGBM,2025-10-20 00:00:00+02:00
TFM,FGBM,2025-10-22 00:00:00+02:00
TFM,FGBM,2025-10-29 00:00:00+01:00
TFM,FGBM,2026-03-09 00:00:00+01:00
TFM,FGBM,2026-03-27 00:00:00+01:00
TFM,FGBM,2026-04-01 00:00:00+02:00
TFM,FGBM,2026-04-14 00:00:00+02:00
TFM,FGBX,2025-09-02 00:00:00+02:00
TFM,FGBX,2025-09-04 00:00:00+02:00
TFM,FGBX,2025-09-11 00:00:00+02:00
TFM,FGBX,2025-09-30 00:00:00+02:00
TFM,FGBX,2025-10-24 00:00:00+02:00
TFM,FGBX,2025-11-10 00:00:00+01:00
TFM,FGBX,2025-12-01 00:00:00+01:00
